contract_group,underlying_asset,traded_contracts_day,traded_contracts_mtd,traded_contracts_ytd,daily_average_mtd,daily_average_ytd,open_interest,fecha,es_total
FUTURES XROLLING STOCK,ITX,0,0,4000,0,38,0,2026-06-02,False
FUTURES XROLLING STOCK TOTAL,,0,0,6000,0,57,0,2026-06-02,True
FUTURES XROLLING FX,USDMXN,0,0,2,0,0,0,2026-06-02,False
FUTURES XROLLING FX,USDJPY,0,0,34,0,0,0,2026-06-02,False
FUTURES XROLLING FX,USDCHF,0,0,235,0,2,4,2026-06-02,False
FUTURES XROLLING FX,USDCAD,0,0,18,0,0,0,2026-06-02,False
FUTURES XROLLING FX,NZDUSD,0,0,36,0,0,0,2026-06-02,False
FUTURES XROLLING FX,GBPUSD,0,0,112,0,1,0,2026-06-02,False
FUTURES XROLLING FX,GBPCHF,0,0,9,0,0,0,2026-06-02,False
FUTURES XROLLING FX,EURUSD,2,4,1322,2,13,2140,2026-06-02,False
FUTURES XROLLING FX,EURJPY,0,0,253,0,2,11,2026-06-02,False
FUTURES STOCK,NTGY,0,0,5140,0,49,5014,2026-06-02,False
OPTIONS STOCK TOTAL,,39898,68595,6007829,34305,57215,6247339,2026-06-02,True
FUTURES STOCK,AMS,2,3,1065,2,10,133,2026-06-02,False
OPTIONS STOCK,UNI,0,0,351,0,3,312,2026-06-02,False
OPTIONS STOCK,TRE,0,0,1384,0,13,1082,2026-06-02,False
OPTIONS STOCK,TEF,14,147,1119321,74,10660,1582381,2026-06-02,False
OPTIONS STOCK,SLR,0,0,10020,0,95,327,2026-06-02,False
OPTIONS STOCK,SCYR,0,0,20959,0,200,20680,2026-06-02,False
FUTURES XROLLING FX,EURAUD,0,0,35,0,0,0,2026-06-02,False
FUTURES XROLLING FX,EURGBP,0,0,16,0,0,0,2026-06-02,False
OPTIONS STOCK,ROVI,1,2,7165,1,68,5693,2026-06-02,False
OPTIONS STOCK,BBVA,63,4886,688031,2443,6553,636760,2026-06-02,False
FUTURES STOCK,ITX,0,0,10270,0,98,8664,2026-06-02,False
FUTURES STOCK TOTAL,,14,65,3762058,35,35829,1644862,2026-06-02,True
OPTIONS STOCK,SAB,107,320,15115,160,144,17083,2026-06-02,False
OPTIONS STOCK,VID,1,1,173,1,2,66,2026-06-02,False
OPTIONS STOCK,AMS,3054,3080,34145,1540,325,21542,2026-06-02,False
OPTIONS STOCK,FCC,0,0,280,0,3,2110,2026-06-02,False
OPTIONS STOCK,PUIG,7,10,29693,5,283,32046,2026-06-02,False
OPTIONS STOCK,MRL,0,100,70308,50,670,55027,2026-06-02,False
FUTURES XROLLING STOCK,AMS,0,0,2000,0,19,0,2026-06-02,False
OPTIONS STOCK,OHLA,0,0,2788,0,27,2121,2026-06-02,False
OPTIONS STOCK,MAP,0,5,3151,3,30,1737,2026-06-02,False
OPTIONS STOCK,MTS,551,628,4253,314,41,1248,2026-06-02,False
FUTURES INDEX TOTAL,,7753,16411,1901138,8206,18106,58156,2026-06-02,True
OPTIONS STOCK,PHM,9,13,572,7,5,288,2026-06-02,False
OPTIONS STOCK,GRF,48,95,30184,48,287,21587,2026-06-02,False
OPTIONS STOCK,IBE,23253,23315,1730805,11658,16484,1457514,2026-06-02,False
OPTIONS STOCK,IDR,44,96,38338,48,365,5609,2026-06-02,False
OPTIONS STOCK,NTGY,14,15,90868,8,865,18808,2026-06-02,False
OPTIONS STOCK,MEL,0,0,1813,0,17,3286,2026-06-02,False
FUTURES XROLLING FX,AUDUSD,0,0,17,0,0,1,2026-06-02,False
OPTIONS STOCK,ITX,538,852,28479,426,271,35101,2026-06-02,False
FUTURES XROLLING FX,AUDJPY,0,0,6,0,0,0,2026-06-02,False
OPTIONS STOCK,FDR,2,2,994,1,9,943,2026-06-02,False
FUTURES STOCK,MAP,0,0,579,0,6,434,2026-06-02,False
OPTIONS STOCK,IAG,16,4585,23546,2293,224,30649,2026-06-02,False
OPTIONS STOCK,FER,361,2411,51515,1206,491,37456,2026-06-02,False
OPTIONS STOCK,ENG,110,170,33104,85,315,35119,2026-06-02,False
OPTIONS STOCK,ENC,0,0,37,0,0,27,2026-06-02,False
OPTIONS STOCK,ELE,0,26,7599,13,72,8173,2026-06-02,False
OPTIONS STOCK,EBRO,0,0,46,0,0,28,2026-06-02,False
OPTIONS STOCK,COL,4,4,8835,2,84,4749,2026-06-02,False
OPTIONS STOCK,SAN,11328,21420,1263181,10710,12030,1084073,2026-06-02,False
OPTIONS STOCK,ACS,10,10,6207,5,59,6768,2026-06-02,False
FUTURES STOCK DIVIDEND,IBED,0,0,0,0,0,100,2026-06-02,False
OPTIONS STOCK,ANA,0,3,1498,2,14,984,2026-06-02,False
FUTURES STOCK DIVIDEND,SAND,0,0,66472,0,633,25425,2026-06-02,False
OPTIONS STOCK,CIE,0,0,166,0,2,160,2026-06-02,False
FUTURES XROLLING FX,EURCHF,0,0,149,0,1,1,2026-06-02,False
OPTIONS STOCK,BKT,5,6,7362,3,70,6968,2026-06-02,False
OPTIONS STOCK,RED,97,125,8730,63,83,5759,2026-06-02,False
OPTIONS STOCK,ANE,0,0,56,0,1,40,2026-06-02,False
FUTURES STOCK DIVIDEND,GASD,0,0,500,0,5,500,2026-06-02,False
FUTURES STOCK,MTS,0,0,1459,0,14,204,2026-06-02,False
